,name,city,country,IATA,ICAO,Latitude,Longtitude,Altitude,geometry
6968,Shaxian Airport,Sanming,China,SQJ,ZSSM,26.4263,117.8336,830,POINT (117.8336000000000041 26.4263000000000012)
6969,Taroom Airport,Taroom,Australia,XTO,YTAM,-25.801700592041016,149.89999389648438,240,POINT (149.8999938964843750 -25.8017005920410156)
6974,Squamish Airport,Squamish,Canada,YSE,CYSE,49.7817001343,-123.162002563,171,POINT (-123.1620025630000015 49.7817001343000030)
6981,La Grande-4 Airport,La Grande-4,Canada,YAH,CYAH,53.754699707,-73.6753005981,1005,POINT (-73.6753005980999944 53.7546997070000003)
6982,Alert Bay Airport,Alert Bay,Canada,YAL,CYAL,50.58219909667969,-126.91600036621094,240,POINT (-126.9160003662109375 50.5821990966796875)
6985,Centralia / James T. Field Memorial Aerodrome,Centralia,Canada,YCE,CYCE,43.285599,-81.508301,824,POINT (-81.5083010000000030 43.2855989999999977)
6987,Chetwynd Airport,Chetwynd,Canada,YCQ,CYCQ,55.687198638916016,-121.6269989013672,2000,POINT (-121.6269989013672017 55.6871986389160156)
6988,Ross River Airport,Ross River,Canada,XRR,CYDM,61.9706001282,-132.42300415,2314,POINT (-132.4230041499999970 61.9706001281999974)
6989,Dolbeau St Felicien Airport,Dolbeau-St-Félicien,Canada,YDO,CYDO,48.778499603271,-72.375,372,POINT (-72.3750000000000000 48.7784996032710012)
6990,Amos/Magny Airport,Amos,Canada,YEY,CYEY,48.563903,-78.249702,1068,POINT (-78.2497019999999992 48.5639030000000034)
6992,Hope Airport,Hope,Canada,YHE,CYHE,49.3683013916,-121.498001099,128,POINT (-121.4980010990000068 49.3683013915999993)
6993,Haines Junction Airport,Haines Junction,Canada,YHT,CYHT,60.78919982910156,-137.54600524902344,2150,POINT (-137.5460052490234375 60.7891998291015625)
6994,Digby / Annapolis Regional Airport,Digby,Canada,YDG,CYID,44.5458450365,-65.7854247093,499,POINT (-65.7854247093000026 44.5458450364999976)
6995,Fort Liard Airport,Fort Liard,Canada,YJF,CYJF,60.2358016968,-123.46900177,708,POINT (-123.4690017700000055 60.2358016968000030)
6996,Key Lake Airport,Key Lake,Canada,YKJ,CYKJ,57.25609970092773,-105.61799621582033,1679,POINT (-105.6179962158203267 57.2560997009277273)
6997,Leaf Rapids Airport,Leaf Rapids,Canada,YLR,CYLR,56.513301849365234,-99.98529815673828,959,POINT (-99.9852981567382812 56.5133018493652344)
6998,Matane Airport,Matane,Canada,YME,CYME,48.85689926147461,-67.45330047607422,102,POINT (-67.4533004760742188 48.8568992614746094)
6999,Charlevoix Airport,Charlevoix,Canada,YML,CYML,47.59749984741211,-70.2238998413086,977,POINT (-70.2238998413085938 47.5974998474121094)
7001,Owen Sound / Billy Bishop Regional Airport,Owen Sound,Canada,YOS,CYOS,44.5903015137,-80.8375015259,1007,POINT (-80.8375015258999952 44.5903015136999983)
7002,Port Hawkesbury Airport,Port Hawkesbury,Canada,YPS,CYPD,45.6567001343,-61.3680992126,377,POINT (-61.3680992126000007 45.6567001343000030)
7003,St Thomas Municipal Airport,St Thomas,Canada,YQS,CYQS,42.77000045776367,-81.11080169677734,778,POINT (-81.1108016967773438 42.7700004577636719)
7004,Ottawa / Rockcliffe Airport,Ottawa,Canada,YRO,CYRO,45.4603004456,-75.64610290530001,188,POINT (-75.6461029053000118 45.4603004455999979)
7006,Smiths Falls-Montague (Russ Beach) Airport,Smiths Falls,Canada,YSH,CYSH,44.94580078125,-75.94059753417969,416,POINT (-75.9405975341796875 44.9458007812500000)
7007,St Leonard Airport,St Leonard,Canada,YSL,CYSL,47.157501220703125,-67.83470153808594,793,POINT (-67.8347015380859375 47.1575012207031250)
7009,Vernon Airport,Vernon,Canada,YVE,CYVK,50.24810028076172,-119.33100128173828,1140,POINT (-119.3310012817382812 50.2481002807617188)
7010,Beaver Creek Airport,Beaver Creek,Canada,YXQ,CYXQ,62.410301208496094,-140.86700439453125,2131,POINT (-140.8670043945312500 62.4103012084960938)
7011,Shuswap Regional Airport,Salmon Arm,Canada,YSN,CZAM,50.682802,-119.228996,1751,POINT (-119.2289959999999951 50.6828020000000024)
7012,Kelsey Airport,Kelsey,Canada,KES,CZEE,56.0374984741,-96.5096969604,600,POINT (-96.5096969604000066 56.0374984740999977)
7013,Pukatawagan Airport,Pukatawagan,Canada,XPK,CZFG,55.7491989136,-101.26599884,958,POINT (-101.2659988399999946 55.7491989135999972)
7014,Grand Forks Airport,Grand Forks,Canada,ZGF,CZGF,49.01559829711914,-118.43099975585938,1720,POINT (-118.4309997558593750 49.0155982971191406)
7015,Jenpeg Airport,Jenpeg,Canada,ZJG,CZJG,54.51890182495117,-98.0460968017578,729,POINT (-98.0460968017577983 54.5189018249511719)
